ticker,snapshot_date,kurs_zamkniecia,zmiana_procentowa,zmiana_kwotowa,source
BAC,2024-04-16,1.6567,,,
BAC,2024-04-17,1.7295,4.39,0.0728,
BAC,2024-04-18,1.8189,5.17,0.0894,
BAC,2024-04-19,2.2333,22.78,0.4144,
BAC,2024-04-22,2.0684,-7.38,-0.1649,
BAC,2024-04-23,1.8648,-9.84,-0.2036,
BAC,2024-04-24,2.0063,7.58,0.1414,
BAC,2024-04-25,1.9639,-2.11,-0.0423,
BAC,2024-04-26,1.9279,-1.83,-0.036,
BAC,2024-04-29,1.9729,2.34,0.045,
BAC,2024-04-30,1.982,0.46,0.009,
BAC,2024-05-02,2.2297,12.5,0.2477,
BAC,2024-05-06,2.3063,3.43,0.0766,
BAC,2024-05-07,2.2522,-2.34,-0.0541,
BAC,2024-05-08,2.1621,-4.0,-0.0901,
BAC,2024-05-09,2.1081,-2.5,-0.0541,
BAC,2024-05-10,1.9279,-8.55,-0.1802,
BAC,2024-05-13,1.9063,-1.12,-0.0216,
BAC,2024-05-14,1.8648,-2.17,-0.0414,
BAC,2024-05-15,1.9279,3.38,0.0631,
BAC,2024-05-16,1.8279,-5.19,-0.1,
BAC,2024-05-17,1.8468,1.03,0.0189,
BAC,2024-05-20,1.8378,-0.49,-0.009,
BAC,2024-05-21,1.8306,-0.39,-0.0072,
BAC,2024-05-22,1.8288,-0.1,-0.0018,
BAC,2024-05-23,1.8279,-0.05,-0.0009,
BAC,2024-05-24,1.7566,-3.9,-0.0714,
BAC,2024-05-27,1.7737,0.97,0.0171,
BAC,2024-05-28,1.845,4.02,0.0713,
BAC,2024-05-29,1.8016,-2.35,-0.0434,
BAC,2024-05-31,1.8009,-0.04,-0.0007,
BAC,2024-06-03,1.8378,2.05,0.0369,
BAC,2024-06-04,1.8108,-1.47,-0.027,
BAC,2024-06-05,1.8198,0.5,0.009,
BAC,2024-06-06,1.8333,0.74,0.0135,
BAC,2024-06-07,1.7727,-3.31,-0.0606,
BAC,2024-06-10,1.8165,2.47,0.0438,
BAC,2024-06-11,1.8007,-0.87,-0.0159,
BAC,2024-06-12,1.8053,0.26,0.0047,
BAC,2024-06-13,1.8257,1.13,0.0203,
BAC,2024-06-14,1.8417,0.88,0.0161,
BAC,2024-06-17,1.9499,5.88,0.1082,
BAC,2024-06-18,1.9126,-1.91,-0.0373,
BAC,2024-06-19,1.9098,-0.15,-0.0028,
BAC,2024-06-20,1.9033,-0.34,-0.0065,
BAC,2024-06-21,1.9107,0.39,0.0075,
BAC,2024-06-24,1.8641,-2.44,-0.0466,
BAC,2024-06-25,1.8585,-0.3,-0.0056,
BAC,2024-06-26,1.8557,-0.15,-0.0028,
BAC,2024-06-27,1.8828,1.46,0.0271,
BAC,2024-06-28,1.8753,-0.4,-0.0075,
BAC,2024-07-01,1.8333,-2.24,-0.042,
BAC,2024-07-02,1.7913,-2.29,-0.042,
BAC,2024-07-03,1.8529,3.44,0.0616,
BAC,2024-07-04,1.8426,-0.55,-0.0103,
BAC,2024-07-05,1.8315,-0.61,-0.0112,
BAC,2024-07-08,1.8193,-0.66,-0.0121,
